"Subject" "Activity" "mean" "sd"
"1" 1 "WALKING" -0.163082309727183 0.290975008150377
"2" 1 "WALKING_UPSTAIRS" -0.307103990105455 0.321015073058713
"3" 1 "WALKING_DOWNSTAIRS" -0.123381646209478 0.299555434924686
"4" 1 "SITTING" -0.584725960255462 0.543022231671994
"5" 1 "STANDING" -0.604246709315753 0.541254999475215
"6" 1 "LAYING" -0.562911611255539 0.522006349127356
"7" 2 "WALKING" -0.263447535461266 0.338467768130503
"8" 2 "WALKING_UPSTAIRS" -0.245280103879352 0.300329781393053
"9" 2 "WALKING_DOWNSTAIRS" -0.0960628386705871 0.332649530062931
"10" 2 "SITTING" -0.600393131230662 0.529510140975326
"11" 2 "STANDING" -0.607694266118594 0.515724652354586
"12" 2 "LAYING" -0.594554938801989 0.549568900893805
"13" 3 "WALKING" -0.273821880450755 0.315408124875357
"14" 3 "WALKING_UPSTAIRS" -0.332762922095754 0.316662893686169
"15" 3 "WALKING_DOWNSTAIRS" -0.210455379815377 0.320124352087312
"16" 3 "SITTING" -0.587788224394425 0.5124467764388
"17" 3 "STANDING" -0.614465465564024 0.471080723367097
"18" 3 "LAYING" -0.59842632621547 0.531534578190875
"19" 4 "WALKING" -0.333616309878114 0.35865917581912
"20" 4 "WALKING_UPSTAIRS" -0.319770178845403 0.322263525743536
"21" 4 "WALKING_DOWNSTAIRS" -0.237339899003328 0.347814726528626
"22" 4 "SITTING" -0.599869209421733 0.505712606162415
"23" 4 "STANDING" -0.599570831279334 0.485775631371669
"24" 4 "LAYING" -0.600275906171113 0.523988376297402
"25" 5 "WALKING" -0.255474472944623 0.317972628692293
"26" 5 "WALKING_UPSTAIRS" -0.230117115133272 0.307676773483976
"27" 5 "WALKING_DOWNSTAIRS" -0.137460044128552 0.336190601502203
"28" 5 "SITTING" -0.595146662811886 0.511594924578831
"29" 5 "STANDING" -0.59099275703927 0.487757613531693
"30" 5 "LAYING" -0.59602738987166 0.536707267933316
"31" 6 "WALKING" -0.189527910222856 0.326190753900964
"32" 6 "WALKING_UPSTAIRS" -0.18605013871588 0.299606784683908
"33" 6 "WALKING_DOWNSTAIRS" -0.00181489215397099 0.364205441728441
"34" 6 "SITTING" -0.591247923581489 0.507970710152465
"35" 6 "STANDING" -0.608446224524601 0.489733333819948
"36" 6 "LAYING" -0.582493067922139 0.517584579504899
"37" 7 "WALKING" -0.153995682216284 0.302831244958619
"38" 7 "WALKING_UPSTAIRS" -0.343348262765969 0.302069666050172
"39" 7 "WALKING_DOWNSTAIRS" -0.152405983197827 0.325054697513834
"40" 7 "SITTING" -0.600501628002714 0.50374063355612
"41" 7 "STANDING" -0.618483174871523 0.48624332261109
"42" 7 "LAYING" -0.617707648273444 0.501085671666194
"43" 8 "WALKING" -0.146954599336204 0.320438798261072
"44" 8 "WALKING_UPSTAIRS" -0.14179250066879 0.332863132906156
"45" 8 "WALKING_DOWNSTAIRS" 0.00160145094544304 0.317505885546453
"46" 8 "SITTING" -0.600673533320371 0.5227967768639
"47" 8 "STANDING" -0.605993482687088 0.520134672544878
"48" 8 "LAYING" -0.59533678345489 0.525611304732799
"49" 9 "WALKING" -0.252828358805236 0.307082610534216
"50" 9 "WALKING_UPSTAIRS" -0.340098264025389 0.319639561060217
"51" 9 "WALKING_DOWNSTAIRS" -0.156501892566705 0.326560286094799
"52" 9 "SITTING" -0.60997046876361 0.476561113931263
"53" 9 "STANDING" -0.613981626306951 0.487982289546709
"54" 9 "LAYING" -0.627386626286394 0.4705566228753
"55" 10 "WALKING" -0.176003777762687 0.306943394878689
"56" 10 "WALKING_UPSTAIRS" -0.205733713321636 0.309158022779417
"57" 10 "WALKING_DOWNSTAIRS" -0.0933115238128125 0.327501999642376
"58" 10 "SITTING" -0.596116271283258 0.537740256142784
"59" 10 "STANDING" -0.605014811783196 0.498770829086713
"60" 10 "LAYING" -0.604927518574841 0.520797025268666
"61" 11 "WALKING" -0.338059768711685 0.330708058644008
"62" 11 "WALKING_UPSTAIRS" -0.362325282497288 0.333091685033702
"63" 11 "WALKING_DOWNSTAIRS" -0.213173995361216 0.330805154665962
"64" 11 "SITTING" -0.598457780278531 0.525655858828363
"65" 11 "STANDING" -0.604886977432674 0.538314657818087
"66" 11 "LAYING" -0.595303144641248 0.541610775986017
"67" 12 "WALKING" -0.216009503152813 0.32018363956619
"68" 12 "WALKING_UPSTAIRS" -0.326609725707612 0.315847907217216
"69" 12 "WALKING_DOWNSTAIRS" -0.153828979531464 0.340418609958227
"70" 12 "SITTING" -0.60855456226386 0.503082573549815
"71" 12 "STANDING" -0.605736466078446 0.492184174753858
"72" 12 "LAYING" -0.601370216513872 0.509311715377419
"73" 13 "WALKING" -0.174015896411719 0.308157462635202
"74" 13 "WALKING_UPSTAIRS" -0.318594652444451 0.318736098676816
"75" 13 "WALKING_DOWNSTAIRS" -0.154798328885655 0.301697482441118
"76" 13 "SITTING" -0.598516189463807 0.533993298338973
"77" 13 "STANDING" -0.615774742571177 0.510547646385688
"78" 13 "LAYING" -0.602841604257323 0.52275242638219
"79" 14 "WALKING" -0.269661976895567 0.295909467386096
"80" 14 "WALKING_UPSTAIRS" -0.14535777328429 0.391668226511193
"81" 14 "WALKING_DOWNSTAIRS" -0.0195228493394599 0.35675851885616
"82" 14 "SITTING" -0.623596741200323 0.489622370697674
"83" 14 "STANDING" -0.631031797134703 0.471758026552402
"84" 14 "LAYING" -0.610177608005162 0.493659178229847
"85" 15 "WALKING" -0.276794393081715 0.324641138162105
"86" 15 "WALKING_UPSTAIRS" -0.286174878885419 0.330483439255839
"87" 15 "WALKING_DOWNSTAIRS" -0.117572917318394 0.353766867844254
"88" 15 "SITTING" -0.60012367783369 0.528321614764596
"89" 15 "STANDING" -0.611901288939454 0.509514280611518
"90" 15 "LAYING" -0.608613628686864 0.51127951275061
"91" 16 "WALKING" -0.3394456086821 0.325246944641144
"92" 16 "WALKING_UPSTAIRS" -0.365971891945078 0.316028363739413
"93" 16 "WALKING_DOWNSTAIRS" -0.202456371341026 0.334911944699183
"94" 16 "SITTING" -0.595799444811891 0.535469000564604
"95" 16 "STANDING" -0.614099873786586 0.521475916650582
"96" 16 "LAYING" -0.625143853489437 0.501886203684308
"97" 17 "WALKING" -0.276365528036381 0.307978379399714
"98" 17 "WALKING_UPSTAIRS" -0.298654572097386 0.317427103314695
"99" 17 "WALKING_DOWNSTAIRS" -0.230166805184095 0.33000877147149
"100" 17 "SITTING" -0.601819633581572 0.540700646021256
"101" 17 "STANDING" -0.61632620123835 0.522879159563062
"102" 17 "LAYING" -0.599068861906119 0.526755384575616
"103" 18 "WALKING" -0.342449748521331 0.332239202704883
"104" 18 "WALKING_UPSTAIRS" -0.409864052034829 0.327295883608061
"105" 18 "WALKING_DOWNSTAIRS" -0.34903537222669 0.315087753965541
"106" 18 "SITTING" -0.597541256457032 0.547161555181503
"107" 18 "STANDING" -0.625999518491724 0.504551868854354
"108" 18 "LAYING" -0.594513102996289 0.552407743499944
"109" 19 "WALKING" -0.0582919209468765 0.298974953592307
"110" 19 "WALKING_UPSTAIRS" -0.172522155198731 0.305609969926173
"111" 19 "WALKING_DOWNSTAIRS" 0.131192702848313 0.420699110097175
"112" 19 "SITTING" -0.617821356990207 0.50455254606011
"113" 19 "STANDING" -0.619975149879974 0.500634290723866
"114" 19 "LAYING" -0.60334569421077 0.537072721544261
"115" 20 "WALKING" -0.0854573801276848 0.315361905438012
"116" 20 "WALKING_UPSTAIRS" -0.206644877774993 0.300578437262754
"117" 20 "WALKING_DOWNSTAIRS" -0.0716770818880729 0.338858933902876
"118" 20 "SITTING" -0.611578372189852 0.505331720967546
"119" 20 "STANDING" -0.613397381806977 0.461756465915788
"120" 20 "LAYING" -0.603095427272892 0.532120196593525
"121" 21 "WALKING" -0.200489403444651 0.296564654641478
"122" 21 "WALKING_UPSTAIRS" -0.272735241321592 0.313674023133835
"123" 21 "WALKING_DOWNSTAIRS" -0.133868540547457 0.336245863912237
"124" 21 "SITTING" -0.602270092758525 0.532726742417569
"125" 21 "STANDING" -0.620404311959377 0.494458040429188
"126" 21 "LAYING" -0.613675758877626 0.512527638887999
"127" 22 "WALKING" -0.121473745947508 0.320066248731244
"128" 22 "WALKING_UPSTAIRS" -0.16862879193324 0.327300733308066
"129" 22 "WALKING_DOWNSTAIRS" -0.131500793139993 0.347992860392531
"130" 22 "SITTING" -0.608107074555336 0.503498692932202
"131" 22 "STANDING" -0.628399926772542 0.478509038333311
"132" 22 "LAYING" -0.597893437112844 0.514926198164997
"133" 23 "WALKING" -0.0788643651638404 0.3176339197213
"134" 23 "WALKING_UPSTAIRS" -0.243025295195815 0.299959559598119
"135" 23 "WALKING_DOWNSTAIRS" -0.000956979995532116 0.323467922161436
"136" 23 "SITTING" -0.591440568414947 0.533262830493723
"137" 23 "STANDING" -0.618083379460514 0.495993555410719
"138" 23 "LAYING" -0.598603350517156 0.538758635928302
"139" 24 "WALKING" -0.309113759019627 0.314826622205731
"140" 24 "WALKING_UPSTAIRS" -0.340369136263789 0.301113967502324
"141" 24 "WALKING_DOWNSTAIRS" -0.21659658268443 0.300774242670662
"142" 24 "SITTING" -0.610192323390129 0.518878744698068
"143" 24 "STANDING" -0.615423749421368 0.502151224364632
"144" 24 "LAYING" -0.598072529579968 0.538721682755991
"145" 25 "WALKING" -0.385361945079112 0.327295581828131
"146" 25 "WALKING_UPSTAIRS" -0.426504552177634 0.341686859885774
"147" 25 "WALKING_DOWNSTAIRS" -0.335078553679007 0.318793892864206
"148" 25 "SITTING" -0.604509610361155 0.530440492625573
"149" 25 "STANDING" -0.613945839713307 0.515414908742754
"150" 25 "LAYING" -0.570587047807129 0.483540848999614
"151" 26 "WALKING" -0.271406731805143 0.312620628501442
"152" 26 "WALKING_UPSTAIRS" -0.305115745183321 0.310946375222379
"153" 26 "WALKING_DOWNSTAIRS" -0.172518329775734 0.308416389551672
"154" 26 "SITTING" -0.603944118434526 0.528528017783179
"155" 26 "STANDING" -0.613241650652751 0.516556338182895
"156" 26 "LAYING" -0.595254205333886 0.550971510836545
"157" 27 "WALKING" -0.266781630894431 0.310297062452602
"158" 27 "WALKING_UPSTAIRS" -0.342018443149963 0.31864692426894
"159" 27 "WALKING_DOWNSTAIRS" -0.158161316639386 0.320298685806065
"160" 27 "SITTING" -0.603338306546586 0.533472157675968
"161" 27 "STANDING" -0.610806197582251 0.522952404577581
"162" 27 "LAYING" -0.594096888281148 0.556333283259494
"163" 28 "WALKING" -0.285088922798751 0.297709214753745
"164" 28 "WALKING_UPSTAIRS" -0.295372554581159 0.298668198824107
"165" 28 "WALKING_DOWNSTAIRS" -0.12543827491249 0.312656990770749
"166" 28 "SITTING" -0.616165945460807 0.49623672267738
"167" 28 "STANDING" -0.618516796926162 0.464550958527409
"168" 28 "LAYING" -0.631110193103237 0.486392372567323
"169" 29 "WALKING" -0.216790400944455 0.306989447162354
"170" 29 "WALKING_UPSTAIRS" -0.245353572484911 0.332241291988379
"171" 29 "WALKING_DOWNSTAIRS" -0.166116177694424 0.320529017043882
"172" 29 "SITTING" -0.599502576192753 0.539036519969584
"173" 29 "STANDING" -0.609616980359735 0.531825787675708
"174" 29 "LAYING" -0.584565825026074 0.571821766199434
"175" 30 "WALKING" -0.245849040422536 0.286920170875774
"176" 30 "WALKING_UPSTAIRS" -0.351435833812871 0.345970637566855
"177" 30 "WALKING_DOWNSTAIRS" -0.215537696652668 0.305429191659558
"178" 30 "SITTING" -0.61101762170298 0.51840181612988
"179" 30 "STANDING" -0.622602898948469 0.473519245377036
"180" 30 "LAYING" -0.610720545199801 0.517249793426879
